match_id,team_id,crossed_baseline,try_lft_auton_gears,try_cen_auton_gears,try_rgt_auton_gears,lft_auton_gears,cen_auton_gears,rgt_auton_gears,auton_highgoal,auton_lowgoal,teleop_gears,pickup_gears,dropped_gears,teleop_highgoal,teleop_lowgoal,caught_rope,hanging,comments
4,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,2,FALSE,0,0,0,TRUE,FALSE,"Very close to hanging, couple inches away. YELLOW CARD!"
5,4776,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,1,0,0,TRUE,TRUE,
6,27,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,0,0,FALSE,0,33,0,TRUE,TRUE,Lot of fuel in high goal hard to count.
7,3641,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,TRUE,0,0,0,FALSE,FALSE,couldn't really tell if the gears got on because vision blocked
8,5523,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,TRUE,FALSE,
9,6101,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,3,TRUE,0,0,0,TRUE,TRUE,
10,4998,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,TRUE,FALSE,
11,2834,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,TRUE,TRUE,"knocked another robot over
KO
fast"
12,3536,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,TRUE,TRUE,
13,5703,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,TRUE,TRUE,
14,5517,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,TRUE,FALSE,rope gear thingy couldnt support it so it went down 
15,4362,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,TRUE,TRUE,
16,5523,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,1,0,0,FALSE,FALSE,
17,5704,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,TRUE,FALSE,
18,5688,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,TRUE,FALSE,
19,470,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,0,1,FALSE,0,26,0,TRUE,TRUE,
20,3568,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,TRUE,TRUE,
21,830,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,1,0,0,TRUE,TRUE,AYE
22,5695,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,FALSE,FALSE,Sometimes just stood in field? Struggled with one gear for a really long time and never got it out
23,5703,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,TRUE,FALSE,"Smash into their own teammate sometimes NOTE: might not have installed one gear, hard to see but probably did"
24,5502,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,FALSE,FALSE,"spends a lot of time spinning around trying to get positioned
couldn't get gear from slot, balls in the way
got stuck at the last 30 seconds and didn't move away from the gear collection"
25,6101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,0,0,0,TRUE,TRUE,"Moved straight forward during auton, maybe can deliver a gear during it
CAN CLIMB ROPE HELLA FAST OH MY LORD
took forever to grab the rope but got up right as the buzzer went off"
26,3641,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,FALSE,FALSE,"moved back and forth during auton?
kinda slow
COULD NOT SEE ANYTHING THEY DID WHEN AT BASE. WE NEED TO SIT SOMEWHERE ELSE DAY 2. "
27,4998,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,3,FALSE,0,0,0,FALSE,FALSE,"Almost crossed baseline
the small bumper came UP, as in almost falling off. Tis scary
Pretty sure they got disabled for it because they stopped moving "
28,5538,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,TRUE,FALSE,
30,5688,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,TRUE,TRUE,
31,27,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,TRUE,TRUE,
32,5704,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,FALSE,TRUE,super jerky. Seemed to be defending but didn't score.
33,51,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,FALSE,TRUE,    
